"","Old_Name","Seq.Name","Read_Count"
"1","GWR_100_355","POP27_86",1034715
"2","XXX_100_93","POP30_92",763853
"3","GWR_100_259","POP30_37",722258
"4","GWR_100_22","POP30_29",680115
"5","GWR_100_96","POP28_29",879194
"6","GWR_100_209","POP31_07",832883
"7","GWR_100_369","POP25_49",293842
"8","XXX_100_51","POP26_23",854695
"9","XXX_100_66","POP27_81",715844
"10","XXX_100_122","POP27_93",764213
"11","GWR_100_287","POP29_42",806446
"12","GWR_100_341","POP26_44",756122
"13","GWR_100_19","POP25_09",529424
"14","GWR_100_489","POP27_61",885864
"15","GWR_100_167","POP28_79",94687
"16","GWR_100_162","POP25_40",336302
"17","GWR_100_73","POP28_62",918427
"18","XXX_100_249","POP31_51",894185
"19","GWR_100_250","POP27_96",785831
"20","GWR_100_370","POP25_64",301508
"21","XXX_100_116","POP30_47",578212
"22","XXX_100_110","POP26_46",732312
"23","XXX_100_83","POP27_72",806025
"24","XXX_100_241","POP30_57",771533
"25","GWR_100_483","POP25_20",455079
"26","GWR_100_466","POP29_55",899705
"27","GWR_100_49","POP27_33",859786
"28","GWR_100_108","POP29_20",836312
"29","GWR_100_449","POP29_03",831714
"30","XXX_100_159","POP30_80",576537
"31","GWR_100_400","POP28_59",1048974
"32","GWR_100_147","POP29_57",716617
"33","XXX_100_167","POP28_64",973166
"34","GWR_100_392","POP30_94",739525
"35","GWR_100_152","POP30_88",720836
"36","GWR_100_450","POP25_77",529672
"37","GWR_100_360","POP26_37",538951
"38","GWR_100_459","POP27_06",1291078
"39","GWR_100_58","POP26_74",530935
"40","GWR_100_444","POP30_15",785778
