Genotype,BLUP_tree_height,BLUP_mvd,BLUP_cmvd,BLUP_cvf,BLUP_vgi
GWR_100_327,96.61984,29.88422,0.007282688,-0.023042463,1.548811
GWR_100_328,107.28465,31.2332,0.016452489,0.006165073,1.558041
GWR_100_329,51.22292,24.36165,-0.00858729,0.016601073,1.438132
GWR_100_33,62.25545,27.78245,0.020494243,-0.017279897,1.474436
GWR_100_332,76.83069,28.78149,0.011433946,-0.001507011,1.48156
GWR_100_333,74.05267,25.96122,-0.025751622,0.052293107,1.537795
GWR_100_334,54.79008,27.42405,0.034622685,-0.038200329,1.418596
GWR_100_335,50.50813,23.46671,-0.032099019,0.009065112,1.459248
GWR_100_338,36.00309,22.72901,0.021168856,0.035300023,1.515231
GWR_100_341,67.41331,26.89242,-0.002141854,-0.00280941,1.489602
GWR_100_343,58.42866,26.37992,0.002908201,0.024299264,1.408824
GWR_100_345,41.78808,22.1693,-0.037417709,0.088089534,1.463327
GWR_100_346,56.68604,25.4485,-0.01124507,0.022292461,1.463467
GWR_100_349,43.76977,21.94308,-0.042463964,0.028731324,1.441651
GWR_100_350,40.57033,22.98051,-0.012666519,0.001577123,1.445353
GWR_100_352,40.92582,25.59165,0.03041731,0.021046677,1.560403
GWR_100_356,66.87686,25.67224,-0.022284498,0.019339579,1.364836
GWR_100_369,42.99179,24.54516,0.00503099,0.02725621,1.565795
GWR_100_372,45.63197,24.04585,-0.018339237,0.075276805,1.408821
GWR_100_373,45.54724,24.97464,0.011770146,-0.048842061,1.413148
GWR_100_378,49.45767,25.12047,-0.003300457,-0.033312242,1.432338
GWR_100_379,58.10802,25.74063,-0.009281136,-0.017020412,1.466277
GWR_100_385,41.47747,23.47145,-0.001739077,0.045153553,1.594145
GWR_100_386,82.28159,26.76873,-0.025114624,0.005255143,1.455188
GWR_100_387,59.49278,25.50403,-0.01514557,0.010099071,1.56797
GWR_100_392,43.67474,24.78996,0.012150395,-0.029531114,1.386753
GWR_100_394,48.98368,24.645,-0.003691341,-0.045447391,1.406042
GWR_100_401,52.77597,24.17553,-0.02512931,0.012804356,1.405616
GWR_100_402,59.293,26.22346,-0.002733163,0.023405182,1.478771
GWR_100_403,84.53305,28.09297,-0.007537616,0.031606169,1.52088
GWR_100_414,53.55249,24.0263,-0.029860898,0.074318364,1.528796
GWR_100_423,53.96059,25.67746,-0.000288204,-0.008027097,1.461582
GWR_100_426,62.84794,29.27149,0.036904652,-0.013475317,1.479449
GWR_100_428,42.4663,22.55799,-0.033310655,0.075275164,1.466566
GWR_100_433,79.43764,29.14657,0.015806218,-0.016472869,1.426925
GWR_100_439,45.54724,24.92221,0.022336682,-0.038939924,1.535751
GWR_100_444,32.39397,21.40553,0.002431137,-0.00100543,1.549901
GWR_100_447,50.97404,21.90456,-0.04395333,0.042601153,1.438229
GWR_100_462,56.56755,25.20306,-0.010219787,-0.033356482,1.382709
GWR_100_464,41.04432,26.11181,0.032659105,-0.008952888,1.41096
GWR_100_467,46.49522,22.42748,-0.039614559,0.030266452,1.434362
GWR_100_473,53.84209,23.41801,-0.0419784,-0.010148536,1.350834
GWR_100_475,58.21162,25.55652,-0.010518822,0.033550226,1.40984
GWR_100_479,56.65858,24.54043,-0.024369675,0.039049455,1.437637
GWR_100_483,95.19786,27.70548,-0.022783307,-0.020722288,1.5829
GWR_100_487,70.5194,26.08519,-0.021628212,0.014253908,1.38176
GWR_100_488,58.70051,25.86903,-0.008285856,0.041853943,1.449428
GWR_100_492,73.15725,26.79423,-0.01214243,-0.00972315,1.402532
GWR_100_497,75.29022,27.88799,-0.000166064,0.006613775,1.505352
GWR_100_52,60.59648,28.6576,0.034591924,-0.039772771,1.40289
GWR_100_53,73.39425,28.84601,0.020974294,-0.026633052,1.472125
GWR_100_62,59.88549,28.52064,0.035900085,-0.02813908,1.528607
GWR_100_63,67.94335,26.12897,-0.015794765,-0.006061114,1.420828
GWR_100_76,60.47798,27.89148,0.020475728,-0.016909282,1.550779
GWR_100_80,50.64265,27.22314,0.036458428,-0.019523085,1.489383
GWR_100_86,36.68604,23.27389,0.013140451,0.012214916,1.581472
GWR_100_92,59.51579,26.93456,0.008706064,-0.01588152,1.410182
GWR_100_95,82.0446,28.8233,0.007444992,-0.018444132,1.441395
GWR_100_96,43.98535,21.71055,-0.04717852,0.038474245,1.468021
GWR_100_99,73.89737,30.58549,0.039726572,-0.037917169,1.479701
IFG_100_10,84.41455,26.54281,-0.023894112,0.015695335,1.492551
IFG_100_100,51.53353,25.99428,0.011109284,-0.00693337,1.467385
IFG_100_101,56.68604,25.58902,-0.001190264,0.005949639,1.463554
IFG_100_15,102.54473,31.95507,0.030560937,-0.049355884,1.601453
IFG_100_18,67.1257,27.72656,0.012580373,-0.004274304,1.438255
IFG_100_25,73.27575,29.5163,0.030823595,-0.032574846,1.465416
IFG_100_28,66.28437,26.69187,-0.003426381,-0.030137142,1.368207
IFG_100_33,67.58785,26.01729,-0.013813072,0.007938545,1.419466
IFG_100_42,58.42866,23.33686,-0.050297895,-0.020063351,1.373926
IFG_100_462,72.20927,29.48737,0.027078319,-0.049486608,1.358222
IFG_100_64,56.44905,24.53753,-0.022937949,-0.049151964,1.44205
IFG_100_68,42.68118,24.45642,0.003707061,0.056973878,1.485371
IFG_100_69,61.54446,26.9304,0.015814826,-0.052600177,1.467578
IFG_100_76,74.34223,27.16456,-0.004605866,0.008430568,1.462797
IFG_100_78,64.6254,26.09422,-0.005594381,0.004376011,1.465437
IFG_100_86,84.77005,28.89158,0.005428786,-0.068501837,1.543754
IFG_100_87,62.49244,27.46534,0.010854675,-0.042889832,1.53249
IFG_100_99,98.39731,27.61114,-0.027658947,0.017479904,1.556497
XXX_100_108,86.31052,27.60635,-0.014376539,0.036320792,1.479872
XXX_100_110,24.81011,20.49511,0.006627368,-0.079149208,1.382232
XXX_100_130,55.32257,26.3786,0.009652107,-0.015705951,1.497897
XXX_100_149,69.00983,27.15728,0.00308319,-0.025674948,1.556319
XXX_100_158,35.35642,23.80341,0.014157336,-0.017178737,1.41868
XXX_100_165,44.48076,22.64924,-0.03224126,-0.00969097,1.352203
XXX_100_170,67.82485,23.92647,-0.052621136,0.048766398,1.415074
XXX_100_179,64.03291,28.10568,0.019182752,-0.025235213,1.490314
XXX_100_186,89.39147,27.83722,-0.011079914,0.020732194,1.406542
XXX_100_20,64.50691,26.13558,-0.012026122,-0.027074231,1.396292
XXX_100_230,71.14279,27.19444,-0.004361855,0.013391039,1.483253
XXX_100_231,61.78145,26.29416,-0.000822369,-0.001768418,1.509653
XXX_100_232,76.2382,29.50575,0.021586073,0.000679798,1.452907
XXX_100_247,70.07631,28.90906,0.022532134,-0.000138566,1.536417
XXX_100_250,36.6599,20.91281,-0.047352861,0.08607039,1.575581
XXX_100_33,75.29022,26.27484,-0.02574867,0.018127783,1.434844
XXX_100_35,72.32777,29.85837,0.037801217,-0.074589378,1.465218
XXX_100_43,42.2293,27.20275,0.05421741,-0.066601673,1.459049
XXX_100_56,37.12895,21.63629,-0.028229135,0.085815779,1.466389
XXX_100_61,35.84779,22.7647,0.001219783,0.034330704,1.447161
XXX_100_62,69.36532,27.47904,0.00189722,-0.098132265,1.500124
XXX_100_64,87.14001,29.89348,0.016113231,-0.03090768,1.492856
XXX_100_65,66.52137,27.22331,0.000851629,-0.021689859,1.429544
XXX_100_66,42.74291,22.36766,-0.032384751,0.067982336,1.446652
XXX_100_70,52.42012,25.00849,-0.004382676,0.022047637,1.448942
XXX_100_71,42.89822,21.91849,-0.041489032,0.033788004,1.467636
XXX_100_72,53.01261,26.55304,0.012906893,0.011952773,1.464895
XXX_100_73,53.76952,26.29707,0.019614898,-0.018310543,1.565402
XXX_100_74,93.0649,28.808,0.00017785,-0.017331788,1.502796
XXX_100_78,83.70357,27.07554,-0.016786053,0.005083433,1.465526
XXX_100_82,63.20343,27.3354,0.006683569,0.030306115,1.503026
XXX_100_86,102.90023,27.55935,-0.031365084,-0.01200111,1.458748
XXX_100_89,81.21511,29.73423,0.020588588,-0.014853248,1.497247
XXX_100_91,85.58392,26.3455,-0.033377803,0.006283157,1.480474
XXX_100_93,41.12814,27.87002,0.06401534,-0.026210697,1.478929
XXX_100_97,72.80176,27.58461,0.004036347,-0.000747396,1.388957
