Old.Name,Seq.Name,Plate.Well
XXX_100_74_2,POP26_72,H9
IFG_100_4_2,POP26_73,A10
GWR_100_58_4,POP26_74,B10
XXX_100_44_3,POP26_75,C10
GWR_100_316_3,POP26_76,D10
IFG_100_61_4,POP26_77,E10
IFG_100_86_3,POP26_78,F10
GWR_100_156_2,POP26_79,G10
GWR_100_123_4,POP26_80,H10
GWR_100_110_2,POP26_81,A11
XXX_100_127_3,POP26_82,B11
GWR_100_254_2,POP26_83,C11
GWR_100_352_4,POP26_84,D11
GWR_100_83_4,POP26_85,E11
IFG_100_3_2,POP26_86,F11
IFG_100_30_4,POP26_87,G11
XXX_100_108_2,POP26_88,H11
IFG_100_105_2,POP26_89,A12
XXX_100_17_5,POP26_90,B12
GWR_100_334_5,POP26_91,C12
GWR_100_465_2,POP26_92,D12
GWR_100_391_6,POP26_93,E12
GWR_100_182_5,POP26_94,F12
XXX_100_106_2,POP26_95,G12
XXX_100_25_3,POP26_96,H12
GWR_100_63_6,POP27_01,A1
GWR_100_179_6,POP270_2,B1
GWR_100_308_5,POP27_03,C1
GWR_100_278_5,POP27_04,D1
XXX_100_45_5,POP27_05,E1
GWR_100_459_2,POP27_06,F1
XXX_100_128_4,POP27_07,G1
GWR_100_39_4,POP27_08,H1
GWR_100_328_3,POP27_09,A2
GWR_100_54_4,POP27_10,B2
XXX_100_56_5,POP27_11,C2
IFG_100_9_4,POP27_12,D2
GWR_100_211_2,POP27_13,E2
IFG_100_26_4,POP27_14,F2
GWR_100_387_6,POP27_15,G2
GWR_100_203_4,POP27_16,H2
XXX_100_114_5,POP27_17,A3
GWR_100_242_6,POP27_18,B3
XXX_100_3_5,POP27_19,C3
IFG_100_98_4,POP27_20,D3
IFG_100_46_3,POP27_21,E3
GWR_100_471_2,POP27_22,F3
XXX_100_27_4,POP27_23,G3
GWR_100_385_6,POP27_24,H3
XXX_100_115_2,POP27_25,A4
GWR_100_40_3,POP27_26,B4
XXX_100_65_4,POP27_27,C4
XXX_100_23_4,POP27_28,D4
XXX_100_34_4,POP27_29,E4
XXX_100_2_6,POP27_30,F4
XXX_100_40_2,POP27_31,G4
GWR_100_175_3,POP27_32,H4
GWR_100_49_3,POP27_33,A5
IFG_100_10_4,POP27_34,B5
GWR_100_473_5,POP27_35,C5
XXX_100_82_6,POP27_36,D5
GWR_100_180_3,POP27_37,E5
GWR_100_132_3,POP27_38,F5
GWR_100_104_3,POP27_39,G5
IFG_100_72_4,POP27_40,H5
GWR_100_121_4,POP27_41,A6
GWR_100_298_4,POP27_42,B6
GWR_100_247_6,POP27_43,C6
GWR_100_237_2,POP27_44,D6
GWR_100_99_3,POP27_45,E6
XXX_100_4_5,POP27_46,F6
IFG_100_87_4,POP27_47,G6
XXX_100_109_3,POP27_48,H6
GWR_100_460_6,POP27_49,A7
XXX_100_81_6,POP27_50,B7
XXX_100_50_2,POP27_51,C7
