Old.Name	Blup_Transfo_AUC_bud_burst_y1	Blup_Transfo_bud_burst_y1	Blup_Transfo_AUC_bud_burst_y2	Blup_Transfo_bud_burst_y2	Blup_Transfo_AUC_color_y1	Blup_Transfo_AUC_drop_y1	Blup_Transfo_color_y1	Blup_Transfo_drop_y1	Blup_Transfo_AUC_color_y2	Blup_Transfo_AUC_drop_y2	Blup_Transfo_color_y2	Blup_Transfo_drop_y2	Blup_Transfo_AUC_color_y3	Blup_Transfo_AUC_drop_y3	Blup_Transfo_color_y3	Blup_Transfo_drop_y3	Blup_Transfo_height_y2	Blup_Transfo_dbh_y2	Blup_Transfo_dbase_y2	Blup_Transfo_vol_y2	Blup_Transfo_weight_y2	Blup_Transfo_AUC_dbase	Blup_Transfo_AUC_dbh	Blup_Transfo_AUC_height	Blup_Transfo_AUC_vol	Blup_Transfo_cop1	Blup_Transfo_cop2	Blup_Transfo_growth_duration_y1	Blup_Transfo_growth_duration_y2	Blup_Transfo_AUC_bud_burst_y1_y2	Blup_Transfo_bud_burst_y1_y2	Blup_Transfo_AUC_color_y1_y2_y3	Blup_Transfo_AUC_drop_y1_y2_y3	Blup_Transfo_color_y1_y2_y3	Blup_Transfo_drop_y1_y2_y3	Blup_Transfo_growth_duration_y1_y2	Blup_Transfo_time_serie_color_y1	Blup_Transfo_time_serie_color_y2	Blup_Transfo_time_serie_color_y3	Blup_Transfo_time_serie_dbase	Blup_Transfo_time_serie_dbh	Blup_Transfo_time_serie_drop_y1	Blup_Transfo_time_serie_drop_y2	Blup_Transfo_time_serie_drop_y3	Blup_Transfo_time_serie_height	Blup_Transfo_time_serie_bud_burst_y1	Blup_Transfo_time_serie_bud_burst_y2	Blup_Transfo_time_serie_vol	Blup_Transfo_time_serie_color_y1_y2_y3	Blup_Transfo_time_serie_drop_y1_y2_y3	Blup_Transfo_time_serie_bud_burst_y1_y2	Blup_Transfo_bud_burst_y1_v2	Blup_Transfo_bud_burst_y2_v2	Blup_Transfo_color_y1_v2	Blup_Transfo_drop_y1_v2	Blup_Transfo_color_y2_v2	Blup_Transfo_drop_y2_v2	Blup_Transfo_color_y3_v2	Blup_Transfo_drop_y3_v2	Blup_Transfo_growth_duration_y1_v2	Blup_Transfo_growth_duration_y2_v2	Blup_Transfo_bud_burst_y1_y2_v2	Blup_Transfo_color_y1_y2_y3_v2	Blup_Transfo_drop_y1_y2_y3_v2	Blup_Transfo_growth_duration_y1_y2_v2	Blup_Transfo_time_serie_dbh_v2	Blup_Transfo_time_serie_bud_burst_y2_v2	Blup_Transfo_time_serie_bud_burst_y1_y2_v2
IFG_100_12	5582.939278	-0.018518538	3704.190982	-2.14255061	-3830.308704	-12.01552557	1155.029818	1550.075926	-80.1303685	-3.716976819	6896.708599	1057.781207	-16041.1485	-2.580248003	6090.888963	3092.48829	6.441438295	1.302909313	2.151250313	1.038660856	0.943925436	0.233378421	0.18117075	71.34008711	0.692914005	0.307960746	0.833599934	2258.974413	6068.424886	5149.289016	-1.568089524	-6953.976349	-5.808285458	6143.124224	2401.869492	5354.245171	-1.525645692	-1.931332522	-2.638246413	0.323879879	0.205616354	-0.047210081	-0.684509951	-0.036960667	0.285405181	1.266174135	0.985631739	0.900562101	-2.451962131	-0.215871453	1.309507421	-0.018501409	-2.14255061	5813.727307	1674.445515	7381.388168	3699.140427	734.2082188	-2367.825326	6186.744735	6315.48834	-1.568056601	5179.85948	1137.594378	6952.521557	0.229916705	0.985631739	1.309507421
IFG_100_14	11814.8634	-0.044703634	8525.201891	-4.804137103	-5029.76285	-8.613056777	3295.897818	2507.559027	21.05121313	0.34855816	6618.161355	872.9258966	-3319.213055	4.168749403	3952.651457	2685.83399	5.096168046	1.28299588	1.945320851	0.846946316	0.763655504	0.192522811	0.198611088	81.68798102	0.577003027	0.032712772	0.657949436	6276.159062	7334.881097	11783.33663	-3.094964266	-2344.105536	-0.18895409	5958.63284	2592.087608	8195.10333	-2.50390459	0.359497812	-1.490777617	0.274115476	0.194486951	-0.013832967	0.083050144	0.083588546	0.268480273	2.905004743	1.852589371	0.779014399	-1.478038264	0.055473766	2.83181746	-0.044680546	-4.804137103	5813.727307	8370.976456	-2265.077866	2348.471678	3676.313374	3029.151934	8196.913759	43.41165076	-3.094925172	3125.485254	4910.485964	5073.902687	0.211944149	1.852589371	2.83181746
IFG_100_15	15340.84466	-0.068978264	14100.90395	-8.774702467	-193.466988	5.563896529	-657.6214861	-4993.669529	-14.39001381	-0.810615925	-1404.634418	-2012.088439	6481.035465	40.37904727	-6630.079438	-5297.987727	1.912147526	-0.023065671	0.650586439	0.464097781	0.39739328	0.04756497	0.058590059	0.405261608	0.127793534	-0.001056938	0.218830756	4447.036703	2643.737656	15436.83245	-6.068231471	2379.546869	15.77497732	-3199.928981	-4287.014022	3713.002085	0.333046215	-0.287106516	1.801147478	0.134597027	0.04556325	0.073085598	-0.122539143	0.206833398	0.049109863	4.025768381	2.819224675	0.306049244	0.967498373	0.100141845	3.456087749	-0.06894517	-8.774702467	506.8234318	442.8731344	-415.6861908	2024.799659	-624.4642093	-5874.001091	3630.660408	3196.950349	-6.06819168	25.87707035	-1341.894796	3799.885625	0.096544985	2.819224675	3.456087749
IFG_100_16	-2850.185768	0.020419632	-6257.325521	2.764324792	5955.522044	8.966365323	2061.35547	2507.559027	12.43551024	0.871457389	6618.161355	872.9258966	-11502.21715	-5.763738742	7865.404682	2685.83399	4.945241699	0.78677005	1.456676008	0.733700972	0.67238034	0.143282476	0.181797285	69.46464351	0.464467382	-0.137568937	0.598437808	-99.48955368	3842.127106	-3491.803234	0.714317088	-1485.453904	2.085243425	6964.801649	2592.087608	2822.694656	1.066740389	0.173771422	-2.614542369	0.240667309	0.180782418	0.081940985	0.190329879	0.031520888	0.238720972	-0.879913566	-1.173449059	0.685749834	-1.138800698	0.074445489	-0.717198354	0.020427899	2.764324792	609.5377004	5323.122566	944.7746448	3122.644511	2809.000168	5562.496037	-1118.970045	-424.6571157	0.714349045	1982.861035	5178.942475	-268.2267292	0.215210142	-1.173449059	-0.717198354
IFG_100_18	NA	NA	-420.2692064	1.372720563	NA	NA	NA	NA	51.84577984	0.99006944	-3202.063635	831.2755558	12165.79444	-23.25247031	2588.457965	-635.9652604	-4.092164897	NA	-0.193329799	-0.113479111	-0.115246602	-0.011763256	NA	-30.1734374	-0.000958707	0.22611726	0.218497007	NA	-2230.740014	-799.6863706	1.983900483	4630.085067	-12.63833311	-300.7644217	315.0756751	-2527.944784	NA	1.406326485	0.101923449	-0.105841052	NA	NA	0.261887484	-0.187424097	-0.385536939	NA	-0.054444454	-0.404519298	0.297572384	-0.113303397	-0.182149882	NA	1.372720563	NA	NA	-8744.584701	924.587366	-4042.642533	3585.748045	NA	-6700.442897	1.983913427	-6797.385189	2952.855648	-6380.70159	-0.123003506	-0.054444454	-0.182149882
IFG_100_19	-7953.619516	0.020063144	13510.78002	-9.446008002	-5781.757932	-8.045978645	248.7041658	-657.6119345	-47.24201989	-2.882868199	2523.984914	189.3054554	-20789.7546	-14.55603745	5382.368047	1967.291879	-0.202247084	0.090394992	-0.198722956	-0.049468724	-0.150180103	-0.094323447	-0.145631137	-32.44226575	-0.253046211	0.068360014	0.076816397	-1696.436446	6168.91581	6604.80803	-6.305761906	-7971.434371	-7.662703243	3340.140901	817.3027744	3905.965044	-1.378906857	-1.096736418	-2.657519153	-0.10017483	-0.149401378	0.000675645	-0.492353609	-0.135950883	-0.089753484	-1.757858535	2.800625504	-0.261567675	-2.141661526	-0.219785449	1.360618763	0.020071492	-9.446008002	2621.528961	1561.647297	5573.925745	3363.845638	2494.254262	871.3949102	455.9855355	8303.550841	-6.305722799	4299.885202	2140.144416	6121.069089	-0.148196922	2.800625504	1.360618763
IFG_100_2	-42060.66459	0.126014496	-37705.19405	19.64781671	-3676.391582	-0.673962926	-2707.110975	-5911.493566	-41.20418842	-0.760120391	-1253.14343	-2116.041021	10171.72878	32.07293096	-7811.756974	-7857.534411	-8.047268719	NA	-2.405280681	-1.496434442	-1.480443501	-0.378480375	-0.350712364	-142.6569308	-1.14320947	-0.390598801	-1.138422008	-14741.20997	-9075.745486	-40538.76134	11.18044516	1391.775278	10.02695037	-3859.47759	-5849.833336	-12082.31801	-0.253909124	-0.940586916	2.550836068	-0.47516797	NA	-0.027984549	-0.255812089	0.127875238	-0.53318764	-11.88638969	-9.320475603	-1.438103137	0.79489367	-0.002557235	-10.63862628	0.125987172	19.64781671	408.1371738	-2087.029755	1972.56885	-2127.928648	-276.0612742	-5389.313541	-10354.7113	-5993.81634	11.18045206	971.2646442	-3714.88497	-8212.924708	-0.3421968	-9.320475603	-10.63862628
IFG_100_20	-6554.358722	0.013827914	-9979.977354	4.69472865	-14616.60075	-31.8632602	3295.897818	2507.559027	-65.58068432	-2.963306851	5975.168268	1057.781207	-23831.47935	-27.63215056	2825.352477	2438.50595	1.118503111	-0.536030818	0.116857987	0.272871212	0.360095977	0.071026223	-0.020562005	25.16110624	0.239512213	-0.218590579	-0.417529603	1590.252902	2175.901987	-8319.376747	2.893248736	-12156.90318	-19.35718153	4917.35975	2368.209027	2483.218479	-4.753900055	-1.578234171	-3.979575678	0.106901683	-0.03531604	-0.179515212	-0.511301109	-0.142377352	0.134650423	-1.504229988	-1.71445158	0.311082125	-3.711037614	-0.259490461	-1.487013158	0.013837682	4.69472865	4834.920748	8370.976456	6249.958342	4140.80756	5628.894138	3687.484396	2782.869293	2477.822553	2.893275835	6562.183475	5349.346561	3071.524902	0.039312652	-1.71445158	-1.487013158
IFG_100_22	10753.08458	-0.037638308	4679.834894	-4.318048557	-18589.86132	-52.27807296	2061.35547	2507.559027	-83.00999349	-4.093366599	6896.708599	1057.781207	-29097.023	-24.70210348	6054.055277	1708.109892	5.472631558	1.118612472	1.79181298	0.920638704	0.865909555	0.209322316	0.196757154	56.76723107	0.60407086	0.312253229	1.287717998	4656.283034	7149.048583	7696.498957	-2.990967688	-14994.76984	-22.78080473	6368.746389	2056.86483	6998.833931	-4.99846478	-1.963432373	-4.99214777	0.274441331	0.197426266	-0.28660646	-0.723822139	-0.171969751	0.267553529	2.514806979	1.131279386	0.787873449	-4.464878986	-0.348550711	1.871732185	-0.037616827	-4.318048557	4834.920748	6847.049511	8171.743382	4140.80756	5401.875078	2958.4984	6880.231503	7942.043662	-2.990932908	7277.233844	4713.003624	8313.321542	0.229920154	1.131279386	1.871732185
IFG_100_23	4944.13412	-0.011527085	12137.30025	-6.259610545	18141.36049	57.16800657	-4665.221951	592.5928248	59.4049873	2.953892945	-10426.46455	872.9258966	33563.66959	22.46543809	-8383.558728	-3009.199802	-2.573631573	-1.495520489	-1.228030673	-0.438592107	-0.429388824	-0.13622848	-0.101141162	-34.8063975	-0.338418868	-0.081185527	-0.574647801	-3559.091563	-5692.479527	9930.588343	-3.802539265	16752.14349	27.12628644	-8578.5258	-365.7409694	-4096.868218	5.86020899	1.47385615	6.100877592	-0.140226073	-0.174715525	0.308930281	0.5228708	0.113994799	-0.068772368	1.168624694	2.4662615	-0.366957416	5.211726544	0.256684525	2.199945208	-0.011511547	-6.259610545	-5573.458466	-9451.141987	-8934.101866	-9354.210955	-7493.430904	-3417.058184	-3949.204005	-4600.418023	-3.802498845	-8136.339337	-8026.583973	-4034.369069	-0.07797469	2.4662615	2.199945208
