Old.Name,Blup_Transfo_AUC_bud_burst_y1_y2,Blup_Transfo_bud_burst_y1_y2,Blup_Transfo_time_serie_bud_burst_y1_y2,Blup_Transfo_bud_burst_y1_y2_v2,Blup_Transfo_time_serie_bud_burst_y1_y2_v2,Blup_Transfo_AUC_bud_burst_y2,Blup_Transfo_bud_burst_y2,Blup_Transfo_time_serie_bud_burst_y2,Blup_Transfo_bud_burst_y2_v2,Blup_Transfo_time_serie_bud_burst_y2_v2,Blup_Transfo_AUC_color_y1_y2_y3,Blup_Transfo_AUC_drop_y1_y2_y3,Blup_Transfo_color_y1_y2_y3,Blup_Transfo_drop_y1_y2_y3,Blup_Transfo_time_serie_color_y1_y2_y3,Blup_Transfo_time_serie_drop_y1_y2_y3,Blup_Transfo_color_y1_y2_y3_v2,Blup_Transfo_drop_y1_y2_y3_v2,Blup_Transfo_AUC_color_y2,Blup_Transfo_AUC_drop_y2,Blup_Transfo_color_y2,Blup_Transfo_drop_y2,Blup_Transfo_dbase_y2,Blup_Transfo_time_serie_color_y2,Blup_Transfo_time_serie_dbase,Blup_Transfo_time_serie_drop_y2,Blup_Transfo_color_y2_v2,Blup_Transfo_drop_y2_v2,Blup_Transfo_cop1,Blup_Transfo_cop2,Blup_Transfo_growth_duration_y1_y2,Blup_Transfo_growth_duration_y1_y2_v2,Blup_Transfo_height_y2,Blup_Transfo_growth_duration_y2,Blup_Transfo_time_serie_height,Blup_Transfo_growth_duration_y2_v2,Blup_Transfo_vol_y2,Blup_Transfo_time_serie_vol,Blup_Transfo_time_serie_dbh_v2,Blup_Transfo_AUC_height
GWR_100_387,17723.05229,-6.278094913,3.950019554,-6.278076706,3.950019554,18259.66035,-12.03343628,3.614840138,-12.03343628,3.614840138,3120.795459,-10.21300826,-4085.451523,-6.677399079,1.308876432,-0.04130853,286.7847291,2104.93368,20.30804057,0.343350625,-4054.241818,404.9472094,0.458277026,0.537134818,0.104079877,0.049046456,-120.16599479999999,-514.8934822,0.180618131,0.883735789,2955.0373290000002,5984.991309,2.049968288,2124.794173,0.091485193,4997.361568,0.320219882,0.313228699,0.084017217,21.95115807
GWR_100_203,4485.905595,-1.176591201,1.243500076,-1.176582553,1.243500076,130.139986,-1.845122193,0.440673953,-1.845122193,0.440673953,2216.375706,-7.203751611,717.6180855,1844.92822,0.386150252,-5.76888e-4,1067.768334,484.1166995,-1.926031411,0.970305636,499.3482717,404.9472094,-0.318269625,-0.020044351,0.01161082,0.190013886,2687.000161,-514.8934822,-0.166453533,-0.726716409,2212.403313,3238.53602,2.098733626,1159.98449,0.069636103,2843.801838,0.097519728,0.078871018,0.020867275,9.976791145
XXX_100_114,-3801.743569,-0.279408975,-0.85220956,-0.279402008,-0.85220956,456.8355377,-0.098554064,0.144418442,-0.098554064,0.144418442,2562.024892,13.22957928,1936.112281,638.4929153,0.291163733,0.149506338,1346.516702,-828.2200434,-16.6561041,-0.046858897,2158.20562,404.9472094,0.022104576,-0.453405927,0.048258808,0.004524209,2687.000161,72.825408,-0.076961954,-0.255994944,-649.794497,690.4227464,1.577357026,1687.699653,0.212286356,2080.59202,0.141978487,0.2191433,0.063111028,16.98254432
GWR_100_242,-7664.240923,1.604091231,-1.173242641,1.604092947,-1.173242641,-10561.84968,3.103487507,-1.527309083,3.103487507,-1.527309083,1715.792313,4.962195414,26.07509422,-1275.212125,0.345441744,-0.017525779,-287.9934285,-957.6972808,-15.8223264,-0.943756517,710.8392487,-1089.536249,-1.102886609,-0.453405927,-0.117111003,-0.173846937,-120.16599479999999,72.825408,0.157857233,-0.186262099,-599.2824438,-315.5496541,-3.467160233,-897.1326913,-0.09226452,-1466.366027,-0.678592394,-0.254956728,-0.054381193,18.09327113
GWR_100_471,11700.42235,-1.19472503,2.675743846,-1.194716348,2.675743846,6821.150522,-1.845122193,1.244796053,-1.845122193,1.244796053,-3232.549215,-10.45694091,2195.973201,1075.84349,-1.323607083,-0.080041979,2607.377094,4252.201845,-20.5470667,-0.93647898,2158.20562,404.9472094,2.073551168,-0.515314723,0.252890243,-0.20664596,2687.000161,1621.171075,0.409201458,0.363498328,4334.81417,4606.16827,5.701892356,2492.136527,0.187523672,2843.801838,0.812960235,0.703025662,0.136318707,62.04961169
XXX_100_27,-1111.574627,1.446864891,-0.167681287,1.446868625,-0.167681287,-5964.309,3.394582196,-1.061764709,3.394582196,-1.061764709,-210.6373925,-5.180664001,497.5681748,638.4929153,-0.292324881,-0.090356331,235.2333673,1558.230683,-23.32632569,-0.878649705,710.8392487,404.9472094,0.976860713,-0.639132316,0.140024276,-0.248134089,2687.000161,1621.171075,-0.034378038,0.12089501,193.0861208,-725.506594,2.224481864,-1038.066373,0.143004468,597.4043124,0.362419291,0.372087303,0.096435719,31.51529446
GWR_100_385,7333.315541,-3.056546121,1.538373793,-3.05653395,1.538373793,11556.4508,-5.629353141,2.28169034,-5.629353141,2.28169034,-3987.071859,-14.19991935,1658.524567,1075.84349,-1.160773051,-0.114182327,1383.910966,2927.195721,-4.705290409,0.476816231,710.8392487,404.9472094,-1.222779292,-0.143861944,-0.146187322,0.126560992,1283.417083,846.9982416,-0.077044051,-0.613549223,2666.884542,2979.822641,-4.001677381,3075.310381,-0.059570463,3349.837106,-0.753427614,-0.396581841,-0.131370533,-28.11277172
XXX_100_23,-250.3431872,0.43428062,-0.25193092,0.434286251,-0.25193092,3402.153631,1.356919378,0.398351737,1.356919378,0.398351737,624.2182906,11.72812031,1333.599384,-183.4000245,-0.156629855,0.073903578,1346.516702,214.3164666,-17.2119559,-1.153243339,2158.20562,404.9472094,1.010497809,-0.515314723,0.152190201,-0.246195121,2687.000161,2395.343909,0.22073875,1.233747749,980.0743883,1390.288819,3.185498615,1041.920371,0.155351814,1480.05619,0.494797109,0.428742427,0.076305435,27.50971114
XXX_100_34,6446.476281,-2.330205462,1.454124159,-2.330194652,1.454124159,5145.422518,-4.1738797,1.244796053,-4.1738797,1.244796053,2333.010595,15.00125565,3353.067332,1075.84349,0.331872241,0.284708991,-678.729319,-114.0316645,31.98092836,2.954663282,3817.062968,404.9472094,1.534374699,0.660952412,0.20544132,0.560386728,-1926.435428,-1289.066316,0.218292522,0.625253497,4290.010382,1258.208056,5.918236862,4948.32758,0.251757857,136.2637397,0.701233243,0.612471723,0.096198908,59.81112371
XXX_100_2,16029.79132,-3.818399613,3.655145836,-3.818386015,3.655145836,14076.29108,-7.084826583,2.78955693,-7.084826583,2.78955693,13435.21032,33.74726745,-4836.71103,-620.7505992,3.954929449,0.40518211,-4101.232043,-6842.81684,36.42774276,3.473981452,-2606.875447,404.9472094,0.456774438,0.970496394,0.137396847,0.63605119,-1926.435428,-5765.466642,0.019541611,0.947537915,1896.229428,1502.638454,2.453306348,1015.620374,0.1293123,1347.311999,0.34534529,0.386704091,0.110281694,26.06241708
XXX_100_40,-3829.747443,-0.135951279,-0.915396785,-0.13594458,-0.915396785,2832.072869,0.192540625,0.504157276,0.192540625,0.504157276,-2359.220519,-6.499385357,2195.973201,1023.035281,-0.916522003,-0.033166604,1726.122185,1147.051672,-21.93669619,-0.892044904,2158.20562,404.9472094,0.482763951,-0.57722352,0.056484633,-0.115173862,2687.000161,846.9982416,-0.032778275,0.080392506,232.9450087,1145.563927,0.660334513,1558.772492,0.033061723,1981.103158,0.257061217,0.141637053,0.044525947,-0.347675984
GWR_100_175,5755.514385,-3.054806658,1.232968871,-3.05479449,1.232968871,10543.04001,-5.629353141,2.048918153,-5.629353141,2.048918153,6128.551297,17.74884595,-4065.248921,-2201.014934,2.055199078,0.259089367,-1713.661962,-3414.021564,23.643151369999998,1.980116415,-4054.241818,-1089.536249,0.312016287,0.660952412,0.049512444,0.353345532,-120.16599479999999,-2650.95804,-0.155252867,-0.446431381,-581.0154386,133.09199,2.490993497,-817.3750908,0.043504893,2195.04578,0.234416293,0.155239527,0.084595074,14.00852339
